"","sample","gs_mean_mm","region","Lat","Lon","X","Y"
"1","02A",0.244298,"South",-29.87,-50.39,-1663113.19245151,-3217490.91582222
"2","09",0.433684,"South",-29.74,-50.57,-1684263.89570223,-3203661.37651039
"3","18",0.082396,"South",-29.72,-52.41,-1884638.97913012,-3226298.80357223
"4","31B",0.051792,"South",-29.63,-51.13,-1746602.81054646,-3197379.82108915
"5","21",0.157713,"South",-29.56,-52.63,-1910242.46201257,-3209945.80322192
"6","22",0.437678,"South",-29.4,-53.02,-1955883.45323782,-3196123.85390812
"7","23",0.078711,"South",-29.48,-54.68,-2133994.63850705,-3228816.38533495
"8","24",0.071815,"South",-29.36,-54.74,-2142900.19777052,-3214975.41690346
"9","10",0.261102,"South",-31.56,-55.726,-2213031.47697028,-3506120.91616265
"10","11",0.244298,"South",-31.14,-55.89,-2237521.7649448,-3456077.90523726
"11","12",0.08723,"South",-31.14,-55.91,-2239748.15476066,-3456077.90523726
"12","32",0.091861,"Northeast",-22.94,-48.36,-1544001.3373027,-2400227.2999253
"13","33",0.155391,"Northeast",-22.88,-48.41,-1550680.5067503,-2393071.02104806
"14","34",0.127057,"Northeast",-23.31,-49.47,-1661999.99754357,-2455188.79745551
"15","35",0.093571,"Northeast",-23.32,-49.47,-1661999.99754357,-2456385.53221658
"16","36",0.149029,"Northeast",-22.47,-47.91,-1500586.73589333,-2339489.95408609
"17","37",0.169684,"Northeast",-21.82,-48.08,-1526190.21877578,-2264740.30715627
"18","38",0.238905,"Northeast",-20.16,-47.42,-1471643.66828708,-2063315.29742293
"19","39",0.404827,"Northeast",-20.13,-47.44,-1473870.05810294,-2059799.7407296
"20","40",0.162774,"Northeast",-20.11,-47.47,-1477209.64282674,-2058628.02295568
"21","44",0.511629,"Northwest",-19.54,-54.04,-2204125.91770682,-2057456.37233802
"22","46",0.074749,"Northwest",-19.48,-54.11,-2213031.47697028,-2051599.12507552
"23","47",0.262672,"Northwest",-19.3,-54.38,-2244200.93439239,-2032867.1457313
"24","48",0.205061,"Northwest",-19.08,-54.79,-2292068.3154335,-2011813.91881833
"25","49",0.243372,"Northwest",-18.15,-53.68,-2179635.6297323,-1892905.42273097
"26","50",0.274714,"Northwest",-18.15,-53.68,-2179635.6297323,-1892905.42273097
"27","51",0.125334,"Northwest",-18.13,-53.7,-2181862.01954816,-1890580.38470211
"28","52",0.257135,"Northwest",-18.39,-53.67,-2176296.0450085,-1920825.04037747
"29","56",0.279527,"Northwest",-15.38,-55.84,-2446802.40763615,-1596023.80757445
"30","60",0.249883,"South",-20.780094,14.075215,-1362550.56730967,-3293172.87608503
"31","63",0.264178,"South",-20.654333,14.145194,-1346965.83859861,-3284321.4684266
"32","64",0.276571,"South",-20.652083,14.143639,-1346965.83859861,-3284321.4684266
"33","67",0.351218,"South",-20.660333,14.148583,-1346965.83859861,-3285585.59866809
"34","68",0.247131,"South",-20.634273,14.13718,-1345852.64369068,-3281793.56396299
"35","69",0.266372,"South",-20.6425,14.132778,-1346965.83859861,-3281793.56396299
"36","70",1.044523,"South",-20.644083,14.135583,-1346965.83859861,-3283057.45687849
"37","71",0.523426,"South",-20.612333,14.069028,-1351418.61823034,-3274212.69435374
"38","72",1.045889,"South",-20.612333,14.069028,-1351418.61823034,-3274212.69435374
"39","73",0.834236,"South",-20.482278,14.011556,-1346965.83859861,-3257802.05809762
"40","74",0.237186,"South",-20.486444,14.027056,-1345852.64369068,-3259063.70851036
"41","75",0.934692,"South",-20.570667,14.366806,-1319135.96590029,-3290643.3077844
